Date : 2022-11-25 17:41:10
Directory : /Users/benjaminwilhite/Desktop/ExtraCCRedy
Total : 195 files,  48692 codes, 53543 comments, 8944 blanks, all 111179 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_metal.h                     | C++      |         19 |         81 |         14 |        114 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_misc.h                      | C++      |         13 |         57 |         10 |         80 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_mixer.h                     | C++      |        184 |      2,462 |        139 |      2,785 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_mouse.h                     | C++      |         70 |        355 |         30 |        455 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_mutex.h                     | C++      |         45 |        386 |         41 |        472 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_name.h                      | C++      |          7 |         21 |          6 |         34 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_opengl.h                    | C++      |      1,552 |        196 |        436 |      2,184 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_opengl_glext.h              | C++      |     10,629 |         43 |        509 |     11,181 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_opengles.h                  | C++      |         11 |         25 |          4 |         40 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_opengles2.h                 | C++      |         19 |         26 |          8 |         53 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_opengles2_gl2.h             | C++      |        470 |         86 |         66 |        622 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_opengles2_gl2ext.h          | C++      |      1,427 |        351 |        273 |      2,051 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_opengles2_gl2platform.h     | C++      |          9 |         14 |          8 |         31 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_opengles2_khrplatform.h     | C++      |         99 |        156 |         28 |        283 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_pixels.h                    | C++      |        314 |        288 |         43 |        645 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_platform.h                  | C++      |        159 |         57 |         20 |        236 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_power.h                     | C++      |         21 |         57 |         11 |         89 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_quit.h                      | C++      |          7 |         44 |          8 |         59 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_rect.h                      | C++      |        105 |        238 |         34 |        377 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_render.h                    | C++      |        251 |      1,554 |        104 |      1,909 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_revision.h                  | C++      |          2 |          0 |          1 |          3 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_rwops.h                     | C++      |        132 |        669 |         55 |        856 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_scancode.h                  | C++      |        255 |        124 |         35 |        414 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_sensor.h                    | C++      |         40 |        231 |         31 |        302 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_shape.h                     | C++      |         38 |        102 |         16 |        156 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_stdinc.h                    | C++      |        531 |        143 |         65 |        739 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_surface.h                   | C++      |        143 |        785 |         68 |        996 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_system.h                    | C++      |         81 |        431 |         64 |        576 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_syswm.h                     | C++      |        272 |         77 |         38 |        387 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test.h                      | C++      |         25 |         35 |         10 |         70 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_assert.h               | C++      |         19 |         70 |         17 |        106 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_common.h               | C++      |         92 |        115 |         29 |        236 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_compare.h              | C++      |         14 |         44 |         12 |         70 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_crc32.h                | C++      |         31 |         71 |         23 |        125 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_font.h                 | C++      |         15 |         54 |         13 |         82 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_fuzzer.h               | C++      |         37 |        302 |         48 |        387 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_harness.h              | C++      |         39 |         75 |         21 |        135 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_images.h               | C++      |         29 |         39 |         11 |         79 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_log.h                  | C++      |         13 |         45 |         10 |         68 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_md5.h                  | C++      |         22 |         87 |         21 |        130 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_memory.h               | C++      |         13 |         40 |         11 |         64 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_test_random.h               | C++      |         23 |         75 |         18 |        116 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_thread.h                    | C++      |        109 |        314 |         42 |        465 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_timer.h                     | C++      |         25 |        179 |         19 |        223 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_touch.h                     | C++      |         38 |         93 |         20 |        151 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_ttf.h                       | C++      |        190 |      2,015 |        112 |      2,317 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_types.h                     | C++      |          1 |         26 |          3 |         30 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_version.h                   | C++      |         36 |        135 |         18 |        189 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_video.h                     | C++      |        308 |      1,657 |        125 |      2,090 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/SDL_vulkan.h                    | C++      |         39 |        157 |         20 |        216 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/begin_code.h                    | C++      |        136 |         38 |         14 |        188 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/mac/SDL2/close_code.h                    | C++      |         10 |         27 |          4 |         41 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL.h                       | C++      |         62 |        155 |         16 |        233 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_assert.h                | C++      |        130 |        163 |         32 |        325 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_atomic.h                | C++      |         90 |        275 |         31 |        396 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_audio.h                 | C++      |        178 |      1,209 |         76 |      1,463 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_bits.h                  | C++      |         66 |         45 |         16 |        127 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_blendmode.h             | C++      |         47 |        139 |         13 |        199 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_clipboard.h             | C++      |         15 |         67 |         13 |         95 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config.h                | C++      |        234 |         50 |         27 |        311 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config.h.cmake          | CMake    |        411 |          0 |         35 |        446 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config_android.h        | C++      |        101 |         37 |         20 |        158 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config_iphoneos.h       | C++      |        107 |         38 |         22 |        167 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config_macosx.h         | C++      |        135 |         41 |         22 |        198 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config_minimal.h        | C++      |         32 |         35 |         16 |         83 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config_pandora.h        | C++      |         93 |         22 |         14 |        129 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config_psp.h            | C++      |         89 |         33 |         23 |        145 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config_windows.h        | C++      |        168 |         36 |         22 |        226 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config_winrt.h          | C++      |        146 |         48 |         22 |        216 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_config_wiz.h            | C++      |         87 |         22 |         13 |        122 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_copying.h               | C++      |          0 |         20 |          1 |         21 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_cpuinfo.h               | C++      |        108 |        417 |         35 |        560 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_egl.h                   | C++      |      1,772 |        268 |        263 |      2,303 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_endian.h                | C++      |        253 |         48 |         26 |        327 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_error.h                 | C++      |         30 |        119 |         15 |        164 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_events.h                | C++      |        443 |        613 |         95 |      1,151 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_filesystem.h            | C++      |         14 |        121 |         11 |        146 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_gamecontroller.h        | C++      |        150 |        779 |         74 |      1,003 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_gesture.h               | C++      |         20 |         80 |         18 |        118 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_haptic.h                | C++      |        182 |      1,054 |        106 |      1,342 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_hidapi.h                | C++      |         50 |        370 |         32 |        452 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_hints.h                 | C++      |        177 |      1,842 |        164 |      2,183 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_image.h                 | C++      |        108 |      1,993 |         73 |      2,174 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_joystick.h              | C++      |        115 |        759 |         73 |        947 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_keyboard.h              | C++      |         40 |        270 |         28 |        338 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_keycode.h               | C++      |        284 |         43 |         27 |        354 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_loadso.h                | C++      |         17 |         88 |         11 |        116 |
| /Users/benjaminwilhite/Desktop/ExtraCCRedy/include/windows/SDL2/SDL_locale.h                | C++      |         19 |         74 |         11 |        104 |
